SERVICE NAME,DELIVERABLE,PRICE(UED),PRICE(USD),
STARTER PLAN SEO,4 WEEKS,551,150,
BASIC PLAN SEO,4 WEEKS,730,199,
GROWTH PLAN SEO,4 WEEKS,1097,299,
PROFESSIONAL PLAN SEO,4 WEEKS,1464,399,
Ecommerce Website with SEO (EcomPro10+200),6 WEEK,2198,599,
Ecommerce Website with SEO (EcomPro50+1000),6 WEEK,2565,699,
Ecommerce Website with SEO (EcomPro100+2000),8 WEEK,2932,799,
Ecommerce Website with SEO (EcomProC100+2000),8 WEEK,3299,899,
Ecommerce Website with SEO (EcomPro10+200)+ AI CHATBOT AUTOMATION,8 WEEK,3299,899,
Ecommerce Website with SEO (EcomPro50+1000)+AI CHATBOT AUTOMATION,8 WEEK,3666,999,
Ecommerce Website with SEO (EcomPro100+2000)+AI CHATBOT AUTOMATION,8 WEEK,4033,1099,
Ecommerce Website with SEO (EcomProC100+2000)+AI CHATBOT AUTOMATION,8 WEEK,4400,1199,
CUSTOM WEBSITE,NA,2932,799,
CUSTOM WEBSITE +AI CHATBOT AUTOMATION,NA,4033,1099,
SMM10 (Basic SMM),4 WEEKS,551,150,
SMM20 (Standard SMM),4 WEEKS,730,199,
SMM30 (Growth SMM),4 WEEKS,1097,299,
SMM40 (Leadership SMM),4 WEEKS,1464,399,
AI AUTOMATION CHATBOT JUST INTIGRATED IN YOUR WEBSITE( 5-10) QUESTIONS,3 WEEK,1097,299,
AI AUTOMATION CHATBOT JUST INTIGRATED IN YOUR WEBSITE( 30-40) QUESTIONS,4WEEKS,1464,399,
AI AUTOMATION CHATBOT JUST INTIGRATED IN YOUR WEBSITE( COSTOM MULTIPLE) QUESTIONS,6 WEEK,2198,599,
